netst,stlo,stla
XC.OR039,-118.987602,43.694199
XC.OR040,-120.284897,43.717400
XC.OR041,-121.512604,43.733398
XC.OR042,-120.730003,43.682899
XC.OR043,-119.709198,43.680302
XC.OR044,-119.220001,43.632500
XC.OR046,-120.192596,43.679298
XC.OR048,-120.441299,43.615002
XC.OR049,-118.601898,43.594299
XC.OR051,-120.012398,43.640499
XC.OR052,-119.024902,43.522400
XC.OR053,-118.408798,43.550098
XC.OR054,-118.102997,43.522499
XC.OR055,-119.763199,43.549099
XC.OR056,-120.678299,43.576099
XC.OR057,-120.115799,43.498699
XC.OR058,-119.703201,43.487202
XC.OR059,-119.556503,43.452999
XC.OR060,-119.022797,43.433498
XC.OR061,-120.561302,43.392200
XC.OR062,-119.779404,43.306301
XC.OR064,-119.347198,43.388699
XC.OR066,-119.189102,43.346001
XC.OR067,-119.039200,43.294399
XC.OR069,-118.227997,43.306099
XC.OR070,-117.893799,43.233501
XC.OR072,-119.296997,43.235600
XC.OR073,-118.896202,43.246899
XC.OR074,-119.853897,43.163799
XC.OR075,-119.491600,43.208401
XC.OR076,-117.344704,43.155300
XC.OR077,-118.654297,43.197102
XC.OR078,-118.971703,43.160702
XC.OR079,-118.570999,43.128700
XC.OR080,-117.652901,43.063599
XC.OR081,-118.420601,43.109501
XC.OR082,-119.417801,43.118599
XC.OR083,-118.907204,43.039501
XC.OR084,-118.163498,43.072498
XC.OR086,-119.714203,43.016701
XC.OR087,-118.662399,42.991100
XC.OR088,-117.302299,42.965599
XC.OR089,-118.028000,43.000702
XC.OR090,-117.890503,42.924999
XC.OR091,-119.043701,42.875500
XC.OR092,-119.555099,42.860001
XC.OR093,-119.179802,42.919399
XC.OR094,-118.334801,43.939899
XC.OR095,-117.658798,42.856499
XC.OR096,-117.113701,42.813801
XC.OR097,-117.573898,42.820301
XC.OR098,-119.230202,42.775398
XC.OR099,-118.689003,42.737301
XC.OR100,-119.013199,42.770699
XC.OR101,-117.407799,42.767700
XC.OR103,-118.105904,42.827801
XC.OR104,-117.193497,42.716900
XC.OR105,-117.065300,42.649502
XC.OR106,-117.876503,42.679699
XC.OR108,-118.976997,42.632900
XC.OR109,-117.462898,42.546799
XC.OR110,-119.294899,42.556900
XC.OR111,-118.903999,42.509201
XC.OR113,-118.245697,42.424099
XC.OR115,-119.261002,42.323502
XC.OR118,-119.034599,42.415100
XC.OR120,-117.678596,42.416500
XC.OR123,-118.949097,42.250099
XC.OR127,-119.026100,42.105999
XC.OR128,-118.677597,42.261501
XC.OR132,-118.825203,42.929901
XC.OR133,-120.429001,43.910400
XD.MA05,-122.226189,46.754669
XD.MB05,-122.281021,46.620869
XD.MB07,-122.042389,46.623779
XD.MC06,-122.157204,46.552021
XD.MC08,-121.963219,46.553349
XD.MD05,-122.278168,46.523159
XD.MD09,-121.706711,46.502880
XD.MD12,-121.220673,46.476940
XD.ME02,-122.707336,46.439159
XD.ME03,-122.576469,46.452068
XD.ME04,-122.351936,46.450611
XD.ME06,-122.196968,46.463291
XD.ME08,-121.865639,46.461948
XD.MF05,-122.386757,46.390369
XD.MF07,-122.002274,46.425629
XD.MF09,-121.861000,46.389938
XD.MG02,-122.734871,46.373749
XD.MG03,-122.476189,46.338070
